id,url
high_001,https://www.youtube.com/watch?v=Fz34J188HCg
high_002,https://www.youtube.com/watch?v=qKGEGPYhe14
high_003,https://www.youtube.com/watch?v=hPgQ24VMbNw
high_004,https://www.youtube.com/watch?v=WE0OMWhEbTQ
high_005,https://www.youtube.com/watch?v=VXsTyXgktZA
high_006,https://www.youtube.com/watch?v=F-zT2tj53NY
high_007,https://www.youtube.com/watch?v=WsPFWMtquHo
high_008,https://www.youtube.com/watch?v=8mQZzlQXK1Q
high_009,https://www.youtube.com/watch?v=4CiclvnvMmo
high_010,https://www.youtube.com/watch?v=5UU63mfNnD4
high_011,https://www.youtube.com/watch?v=0V_IZYk8v1Y
high_012,https://www.youtube.com/watch?v=4-CkvMhaB70
high_013,https://www.youtube.com/watch?v=24NV35rKl5I
high_014,https://www.youtube.com/watch?v=p6N5NA-k5uA
high_015,https://www.youtube.com/watch?v=4JUPEPVDQDU
high_016,https://www.youtube.com/watch?v=67I6g1I7Zao
high_017,https://www.youtube.com/watch?v=GCoCq2o6Ye8
high_018,NA
high_019,https://www.youtube.com/watch?v=yqJkupJitaU
high_020,https://www.youtube.com/watch?v=_gPcDRVALVo
high_021,https://www.youtube.com/watch?v=_TwVa4utpII
high_022,https://www.youtube.com/watch?v=x0Iky4NWN2U
high_023,https://www.youtube.com/watch?v=hGsRE7RQykc
high_024,https://www.youtube.com/watch?v=oxrAmdqgoNU
high_025,https://www.youtube.com/watch?v=JZrYk86EDlQ
high_026,https://www.youtube.com/watch?v=i8kdSfkDRhw
high_027,https://www.youtube.com/watch?v=5ePJw0NjEec
high_028,https://www.youtube.com/watch?v=rFLrDvUexC8
high_029,https://youtu.be/rgqrusY2MJI
high_030,https://www.youtube.com/watch?v=BBPR0-F1F9s
high_031,https://www.youtube.com/watch?v=wCbYXsQd9u8
high_032,https://www.youtube.com/watch?v=f-q1g7ZYpM0
high_033,https://www.youtube.com/watch?v=AVEeEgrChKE
high_034,https://www.youtube.com/watch?v=Td2CmihAQcg
high_035,https://www.youtube.com/watch?v=NbYcpDhmSXo
high_036,https://www.youtube.com/watch?v=-RXy8Li3ZaE
high_037,https://www.youtube.com/watch?v=2JeR8ARye7c
high_038,https://www.youtube.com/watch?v=9ZuwEWLHHHY
high_039,https://www.youtube.com/watch?v=gwKt-wAKbp8
high_040,https://www.youtube.com/watch?v=FeBcny03sBg
high_041,https://www.youtube.com/watch?v=_YOULz-MPaU
high_042,https://www.youtube.com/watch?v=gcXENqOwulw
high_043,https://www.youtube.com/watch?v=r5fgW211PdM
high_044,https://youtu.be/f1s2TbLYqyo
high_045,https://youtu.be/MI2dWzmlNH4
high_046,https://www.youtube.com/watch?v=HE9G6otnjXc
high_047,https://youtu.be/QOxVab_a3ZI
high_048,https://youtu.be/zyIN61kQ6VY
high_049,https://youtu.be/PK-Sq7I7M54
high_050,https://youtu.be/g35_JvbxQp4
high_051,https://youtu.be/kuhImFdGW_w
high_052,https://youtu.be/zyIN61kQ6VY
high_053,https://youtu.be/6-xjmsIwzZw
high_054,NA
high_055,https://youtu.be/NSyKhmEG3f4
high_056,https://youtu.be/amjxZkyMDUQ
high_057,https://youtu.be/hPp9J8wPxMc
high_058,https://youtu.be/3rSt4KIaN8I
high_059,https://youtu.be/iRqY5UddPNo
high_060,https://youtu.be/XH2tF8oB3cw
high_061,https://youtu.be/4z5D7660ols
high_062,NA
high_063,https://youtu.be/EtVJr05akR4
high_064,https://youtu.be/JyV27AP4qwg
high_065,https://youtu.be/Be-AasisBYs
high_066,NA
high_067,https://www.youtube.com/watch?v=N3TShzplatA
high_068,https://www.youtube.com/watch?v=PQzrx7JmUkM
high_069,https://www.youtube.com/watch?v=4-bH55MCa1U
high_070,https://www.youtube.com/watch?v=uLhQGFeE5XE
high_071,https://www.youtube.com/watch?v=QAAAsg6Y4Wo
high_072,https://www.youtube.com/watch?v=b8C1jQe0FZE
high_073,NA
high_074,NA
high_075,NA
high_076,https://www.youtube.com/watch?v=EhX5M-ylgpE
high_077,https://www.youtube.com/watch?v=3rSt4KIaN8I
high_078,https://www.youtube.com/watch?v=uLhQGFeE5XE
high_079,https://www.youtube.com/watch?v=31UwtqdT-zw
high_080,https://www.youtube.com/watch?v=_YOULz-MPaU
high_081,https://www.youtube.com/watch?v=_X2xXvC7QPs
high_082,https://www.youtube.com/watch?v=MixAphYLZy0
high_083,https://www.youtube.com/watch?v=5h0i-b0xrnI
high_084,https://www.youtube.com/watch?v=eNfy-FVvnRs
high_085,https://www.youtube.com/watch?v=67I6g1I7Zao
high_086,https://www.youtube.com/watch?v=A-3wZrLkZpE
high_087,https://www.youtube.com/watch?v=zlJMZGaL8SY
high_088,https://www.youtube.com/watch?v=yNqaUMiU0Dk
high_089,https://www.youtube.com/watch?v=S7RlcWtlzSI
high_090,https://www.youtube.com/watch?v=Zldp0jcw6j4
high_091,https://www.youtube.com/watch?v=_an2K9Wjgos
high_092,https://www.youtube.com/watch?v=-UK7JYsJcEM
high_093,https://www.youtube.com/watch?v=dm-rJJPCuTE
high_094,https://www.youtube.com/watch?v=xWCaWpTF-yA
high_095,https://www.youtube.com/watch?v=24NV35rKl5I
high_096,https://youtu.be/T_iBbEr5e4M
high_097,https://youtu.be/9i_qh-BAWTw
high_098,https://www.youtube.com/watch?v=9vVNnzSN3DY
high_099,https://www.youtube.com/watch?v=v21ZLg8n8do
high_100,https://www.youtube.com/watch?v=wSrpYVszdms
high_101,https://www.youtube.com/watch?v=sWc0g2K9LAI
high_102,NA
high_103,https://www.youtube.com/watch?v=c-PLV9YEysA
high_104,https://vimeo.com/11671267
high_105,https://www.youtube.com/watch?v=pV0oS6sC4Gk
high_106,https://www.youtube.com/watch?v=sRUHv6_cRpE
high_107,https://www.youtube.com/watch?v=o2CEsBC5UyU
high_108,https://youtu.be/9i_qh-BAWTw
high_109,https://www.youtube.com/watch?v=1AxtyCUJiJU
high_110,https://www.youtube.com/watch?v=YfZXCGHZfvw
high_111,https://www.youtube.com/watch?v=Td2CmihAQcg
high_112,https://www.youtube.com/watch?v=hB-zchaxlNc
high_113,https://www.youtube.com/watch?v=VlsADqT7Y1U
high_114,https://www.youtube.com/watch?v=nhMhp6LRmcE
high_115,https://www.youtube.com/watch?v=6GdhPBucslk&spfreload=10
high_116,https://www.youtube.com/watch?v=t87gOC_yI_Y
high_117,https://www.youtube.com/watch?v=Z0mSNm20ZWU
high_118,https://www.youtube.com/watch?v=b4xqR_gzVXo
high_119,https://www.youtube.com/watch?v=0DAncPnGOiw
high_120,https://youtu.be/uI4mdo7HBl0
high_121,https://www.youtube.com/watch?v=P3JUXQ4kkHs
high_122,https://www.youtube.com/watch?v=lrnkEQRUyJM
high_123,https://www.youtube.com/watch?v=jxNBQKMW1wg
high_124,https://www.youtube.com/watch?v=frre8tatfWU
high_125,https://www.youtube.com/watch?v=k40xOTIevDs
high_126,https://www.youtube.com/watch?v=06ajKvULGx4
high_127,https://www.youtube.com/watch?v=ItB5qztuo8Q
high_128,https://youtu.be/_N1RaJZV9Mc
high_129,https://www.youtube.com/watch?v=D5ZINbd8puk
high_130,https://www.youtube.com/watch?v=G6OYL7WGP1k
high_131,https://www.youtube.com/watch?v=gIrRu3WIrOU
high_132,https://www.youtube.com/watch?v=dAQXayzKyhs
high_133,https://youtu.be/gwKt-wAKbp8
high_134,https://www.youtube.com/watch?v=pZbAHuOXVH4
high_135,https://www.youtube.com/watch?v=KwDx3nKVQ0k
high_136,https://www.youtube.com/watch?v=A2bAYqQnWwE
high_137,https://youtu.be/Xcwd14BIFRM
high_138,https://www.youtube.com/watch?v=-RXy8Li3ZaE
high_139,https://www.youtube.com/watch?v=F-zT2tj53NY
high_140,https://www.youtube.com/watch?v=EvLquWI8aqc
high_141,https://www.youtube.com/watch?v=HQWorEVFjUo
high_142,https://www.youtube.com/watch?v=rNqeP8W_nps
high_143,https://www.youtube.com/watch?v=wl0zc9pPJb4
high_144,https://www.youtube.com/watch?v=EtVJr05akR4
high_145,https://www.youtube.com/watch?v=1jfH055byg4
high_146,https://www.youtube.com/watch?v=bTRRNWrwRCo
high_147,https://www.youtube.com/watch?v=rFLrDvUexC8
high_148,https://www.youtube.com/watch?v=amjxZkyMDUQ
high_149,https://www.youtube.com/watch?v=MGuc66H6E2I
high_150,https://www.youtube.com/watch?v=XsmY1VVxUIE
high_151,https://www.youtube.com/watch?v=yqJkupJitaU
high_152,https://www.youtube.com/watch?v=5ePJw0NjEec
high_153,https://www.youtube.com/watch?v=wcu8oqHIsbc
high_154,https://youtu.be/GCoCq2o6Ye8
high_155,https://www.youtube.com/watch?v=PQzrx7JmUkM
low_001,https://www.youtube.com/watch?v=E4mtNrOLKgo
low_002,https://www.youtube.com/watch?v=dI_M6U615dc
low_003,https://www.youtube.com/watch?v=ofgrAsBzhxE
low_004,https://www.youtube.com/watch?v=RO6aFxFI-po
low_005,https://www.youtube.com/watch?v=GcjyU5zPLl0
low_006,https://www.youtube.com/watch?v=TuiMR1EF16Y
low_007,https://www.youtube.com/watch?v=AJPvYSEn1VE
low_008,https://www.youtube.com/watch?v=W1RY_72O_LQ
low_009,https://www.youtube.com/watch?v=3jOgmvbP200
low_010,https://www.youtube.com/watch?v=OHiovB-JuJw
low_011,https://www.youtube.com/watch?v=SytVckoox4U
low_012,https://www.youtube.com/watch?v=20yKwXd2cpI
low_013,https://www.youtube.com/watch?v=mbheToXlm2Y
low_014,https://www.youtube.com/watch?v=_VlvanBFkvI
low_015,https://www.youtube.com/watch?v=95Pm-D2ToS8
low_016,https://www.youtube.com/watch?v=Mu3I4PAlWaI
low_017,https://www.youtube.com/watch?v=0z1XLuCeKVM
low_018,https://www.youtube.com/watch?v=1HRmMuxzyRQ
low_019,https://www.youtube.com/watch?v=dmmvAR6K1TQ
low_020,https://www.youtube.com/watch?v=Y-q8oOd8UCM
low_021,https://www.youtube.com/watch?v=c02mv3pW-nQ
low_022,https://www.youtube.com/watch?v=X9NBaihCzhk
low_023,https://www.youtube.com/watch?v=m4Hx-nPrcaU
low_024,https://www.youtube.com/watch?v=3xrEaFPbYC8
low_025,https://www.youtube.com/watch?v=25jUW52zAvU
low_026,https://www.youtube.com/watch?v=eNfy-FVvnRs
low_027,https://www.youtube.com/watch?v=Q9astgtdDW4
low_028,https://www.youtube.com/watch?v=YdKFhE8dJxE
low_029,https://www.youtube.com/watch?v=2rXzhjHcxsk
low_030,https://www.youtube.com/watch?v=pL3zIl2hS-o
low_031,https://www.youtube.com/watch?v=8xhQmPZcyc4
low_032,https://www.youtube.com/watch?v=1dFz6YKDqbE
low_033,https://www.youtube.com/watch?v=Ocp_1PtZupg
low_034,https://www.youtube.com/watch?v=jBPvzqv6NZg
low_035,https://youtu.be/_VlvanBFkvI
low_036,https://www.youtube.com/watch?v=uakjdSW9HmA
low_037,https://www.youtube.com/watch?v=kN7T-cmb_l0
low_038,https://www.youtube.com/watch?v=i-RKE-z9mZY
low_039,https://www.youtube.com/watch?v=OHiovB-JuJw
low_040,https://www.youtube.com/watch?v=Q9astgtdDW4
low_041,https://www.youtube.com/watch?v=X9NBaihCzhk
low_042,https://www.youtube.com/watch?v=25jUW52zAvU
low_043,https://www.youtube.com/watch?v=W1RY_72O_LQ
low_044,https://www.youtube.com/watch?v=tmGfNogx8l0
low_045,https://www.youtube.com/watch?v=YkKrNy_J_O4
low_046,https://www.youtube.com/watch?v=dI_M6U615dc
low_047,https://www.youtube.com/watch?v=SytVckoox4U
low_048,https://www.youtube.com/watch?v=AJPvYSEn1VE
low_049,https://www.youtube.com/watch?v=RU3-UkuH4p4
low_050,https://www.youtube.com/watch?v=wUIwoNVxMLU
low_051,https://www.youtube.com/watch?v=-RXy8Li3ZaE
low_052,https://www.youtube.com/watch?v=8i2XDHZi7GA
low_053,https://www.youtube.com/watch?v=2QU620boS4s&t=29s
low_054,https://youtu.be/8xhQmPZcyc4
low_055,https://www.youtube.com/watch?v=Hgik29Jgpv0
low_056,https://www.youtube.com/watch?v=kNAP4CTeW2s
low_057,https://www.youtube.com/watch?v=A3WiEUDQ_ZM
low_058,https://www.youtube.com/watch?v=xLG1ipVzir0
low_059,https://www.youtube.com/watch?v=KVbSYBCzh4o
low_060,https://www.youtube.com/watch?v=U5nfGNPpegU
low_061,https://www.youtube.com/watch?v=95Pm-D2ToS8
low_062,https://www.youtube.com/watch?v=Ygv4UQssoh0
low_063,https://www.youtube.com/watch?v=m4Hx-nPrcaU
low_064,https://www.youtube.com/watch?v=1HRmMuxzyRQ
low_065,https://www.youtube.com/watch?v=80XyNE89eCs
low_066,https://www.youtube.com/watch?v=1dFz6YKDqbE&t=31s
low_067,https://www.youtube.com/watch?v=TBqfu-uaRpU
low_068,https://www.youtube.com/watch?v=2aRq1LC05-A&t=22s
low_069,https://www.youtube.com/watch?v=FImVOb5dRpU
low_070,https://www.youtube.com/watch?v=RO6aFxFI-po
low_071,https://www.youtube.com/watch?v=wGpeuYUTN9w
low_072,https://www.youtube.com/watch?v=co0LA4jEpZs
low_073,https://www.youtube.com/watch?v=0P_4WIZa8aU
low_074,https://www.youtube.com/watch?v=sB5n5X1fUNQ
low_075,https://www.youtube.com/watch?v=hwlgrc8S8I8
low_076,https://youtu.be/NAHJRdKY4dI
low_077,https://youtu.be/xB67CD9zxG4
low_078,https://www.youtube.com/watch?v=jtS1UVhYwkM
low_079,https://www.youtube.com/watch?v=tRn3p0F5leU
low_080,https://www.youtube.com/watch?v=UIruAksbCeQ
low_081,https://www.youtube.com/watch?v=YdKFhE8dJxE
low_082,https://www.youtube.com/watch?v=ZGETDcFcAbI
low_083,https://www.youtube.com/watch?v=3xrEaFPbYC8
low_084,https://www.youtube.com/watch?v=RpyGsM3xIgw
low_085,https://www.youtube.com/watch?v=-1VdOIxleus
low_086,https://www.youtube.com/watch?v=oxrAmdqgoNU
low_087,https://www.youtube.com/watch?v=m4HFviHn7SY
low_088,https://www.youtube.com/watch?v=2rXzhjHcxsk
low_089,https://youtu.be/3Kc79Fh0WhU
low_090,https://www.youtube.com/watch?v=lfzJOgKM7cs
low_091,https://youtu.be/p9zAFdnqdjo
low_092,https://youtu.be/5h0i-b0xrnI
low_093,NA
low_094,NA
low_095,NA
low_096,NA
low_097,NA
low_098,NA
low_099,NA
low_100,NA
low_101,NA
low_102,NA
low_103,NA
low_104,NA
